
=== f32 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
   4  23   92     278.9     368.5   0.76x     288.4     375.4   0.77x
   4  27  108     520.6     601.3   0.87x     532.2     607.6   0.88x
   4  29  116     446.5     559.3   0.80x     459.6     565.5   0.81x
   4  31  124     441.2     543.9   0.81x     454.4     550.6   0.83x
   5   6   30      68.5      93.3   0.73x      68.5      94.1   0.73x
   5   7   35      84.1     113.3   0.74x      85.9     113.7   0.76x
   5   8   40      94.3     127.4   0.74x      95.6     128.9   0.74x
   5   9   45     112.2     148.5   0.76x     114.7     149.1   0.77x
   5  11   55     139.6     184.5   0.76x     144.9     186.8   0.78x
   5  13   65     169.7     221.4   0.77x     176.0     224.1   0.79x
   5  16   80     192.9     252.9   0.76x     201.3     255.4   0.79x
   5  17   85     252.5     315.4   0.80x     261.1     319.7   0.82x
   5  19   95     280.0     368.8   0.76x     290.1     372.9   0.78x
   5  23  115     387.1     479.1   0.81x     399.5     486.3   0.82x
   5  24  120     312.1     391.7   0.80x     325.2     392.1   0.83x
   5  27  135     684.5     778.6   0.88x     698.8     788.6   0.89x
   5  29  145     591.5     728.6   0.81x     606.0     739.4   0.82x
   5  31  155     586.9     712.2   0.82x     603.6     724.6   0.83x
   5  32  160     440.0     545.1   0.81x     458.5     549.9   0.83x
   6   7   42      93.1     126.7   0.73x      95.8     128.1   0.75x
   6  11   66     154.5     206.9   0.75x     161.6     209.2   0.77x
   6  13   78     188.7     248.6   0.76x     196.6     252.0   0.78x
   6  17  102     294.9     360.8   0.82x     305.4     366.2   0.83x
   6  19  114     328.6     417.9   0.79x     341.1     424.4   0.80x
   6  23  138     442.8     553.1   0.80x     455.1     563.1   0.81x
   6  29  174     675.6     837.3   0.81x     694.8     851.6   0.82x
   6  31  186     669.3     815.3   0.82x     689.0     830.2   0.83x
   7   8   56     129.6     173.0   0.75x     135.9     173.6   0.78x
   7   9   63     154.4     201.7   0.77x     160.9     203.7   0.79x
   7  11   77     192.5     251.2   0.77x     198.9     253.9   0.78x
   7  13   91     235.1     305.6   0.77x     244.1     309.7   0.79x
   7  16  112     282.1     353.3   0.80x     294.8     354.6   0.83x
   7  17  119     363.8     440.1   0.83x     377.5     448.4   0.84x
   7  19  133     407.1     510.8   0.80x     421.2     520.4   0.81x
   7  23  161     536.3     665.6   0.81x     553.5     675.6   0.82x
   7  24  168     432.2     537.9   0.80x     450.6     541.8   0.83x
   7  27  189     949.9    1073.8   0.88x     969.6    1085.8   0.89x
   7  29  203     820.5    1002.8   0.82x     841.1    1017.8   0.83x
   7  31  217     812.3     978.7   0.83x     836.9     994.6   0.84x
   7  32  224     611.7     748.3   0.82x     636.8     761.0   0.84x
   8   9   72     171.5     224.7   0.76x     177.8     226.0   0.79x
   8  11   88     213.4     281.2   0.76x     221.7     284.0   0.78x
   8  13  104     275.4     338.5   0.81x     286.6     340.2   0.84x
   8  17  136     409.5     491.8   0.83x     423.5     494.0   0.86x
   8  19  152     454.5     570.8   0.80x     471.1     573.5   0.82x
   8  23  184     605.4     747.0   0.81x     623.7     749.7   0.83x
   8  27  216    1075.7    1229.1   0.88x    1113.7    1242.8   0.90x
   8  29  232     940.5    1133.2   0.83x     952.0    1139.6   0.84x
   8  31  248     916.7    1102.8   0.83x     939.9    1116.4   0.84x
   9  11   99     252.2     327.0   0.77x     262.5     331.1   0.79x
   9  13  117     326.1     400.4   0.81x     339.5     406.7   0.83x
   9  16  144     374.2     461.6   0.81x     389.1     464.5   0.84x
